district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households
451,MADHYA PRADESH,Jabalpur,2463289,1277278,1186011,1756468,1005624,624761,20443,452023,352477,272284,58601,192581
452,MADHYA PRADESH,Narsimhapur,1091854,568810,523044,718785,477818,283718,1603,172144,53059,230659,9751,28462
453,MADHYA PRADESH,Dindori,704524,351913,352611,378714,389925,227795,554,62372,9774,218021,6447,4576
454,MADHYA PRADESH,Mandla,1054905,525272,529633,604962,559649,316932,912,143803,37258,279674,9042,18413
455,MADHYA PRADESH,Chhindwara,2090922,1064468,1026454,1294198,957984,553944,3588,344875,140802,413142,20034,73284
456,MADHYA PRADESH,Seoni,1379131,695879,683252,864194,684434,382587,1182,228695,47542,335045,10417,26893
457,MADHYA PRADESH,Balaghat,1701698,842178,859520,1147623,893014,470867,1712,277927,70793,400074,13306,27283
458,MADHYA PRADESH,Guna,1241519,649362,592157,653980,514897,285085,2482,144248,72320,212765,11740,34184
459,MADHYA PRADESH,Ashoknagar,845071,443837,401234,469109,315270,206741,619,84720,37135,169606,6016,15886
460,MADHYA PRADESH,Shahdol,1066063,540021,526042,604194,493057,291440,1733,113184,57846,233594,10817,24255
461,MADHYA PRADESH,Anuppur,749237,379114,370123,436595,346471,207713,1290,81338,60325,147388,7266,23388
462,MADHYA PRADESH,Sidhi,1127033,575912,551121,600785,461760,276869,837,102228,25916,250953,10790,9569
463,MADHYA PRADESH,Singrauli,1178273,613637,564636,585054,499439,287325,2627,73091,58593,228732,13939,22141
464,MADHYA PRADESH,Jhabua,1025048,515023,510025,352081,515121,235793,744,125411,24713,211080,5591,16683
465,MADHYA PRADESH,Alirajpur,728999,362542,366457,209754,366797,150528,297,81006,14662,135866,5126,9021
466,MADHYA PRADESH,Khandwa (East Nimar),1310061,674329,635732,731615,612976,329088,1907,202710,63425,265663,10404,40893
467,MADHYA PRADESH,Burhanpur,757847,388504,369343,408679,328339,178840,986,112420,62861,115979,5058,40478
468,GUJARAT,Kachchh,2092371,1096737,995634,1252319,776228,739275,9631,403294,250982,488293,31961,140067
469,GUJARAT,Banas Kantha,3120506,1610379,1510127,1704923,1248600,804197,3424,396873,137424,666773,23149,84832
470,GUJARAT,Patan,1343734,694397,649337,837913,554830,404138,2231,223424,102655,301483,12870,66310
471,GUJARAT,Mahesana,2035064,1056520,978544,1502645,812064,659743,7759,385609,183738,476005,33731,180985
472,GUJARAT,Sabar Kantha,2428589,1244231,1184358,1578734,1084878,665533,5262,438606,121509,544024,25425,99037
473,GUJARAT,Gandhinagar,1391753,723864,667889,1030494,534976,433258,12107,262539,195634,237624,33662,132683
474,GUJARAT,Ahmadabad,7214225,3788051,3426174,5435760,2594952,2198552,126341,1456046,1845383,353169,273651,965017
475,GUJARAT,Surendranagar,1756268,909917,846351,1093626,723500,500598,2975,302068,159810,340788,15309,77857
476,GUJARAT,Rajkot,3804558,1974445,1830113,2725056,1479050,1181006,21785,747352,721532,459474,67370,362140
477,GUJARAT,Jamnagar,2160119,1114192,1045927,1396534,847440,646325,11573,386538,299167,347158,30384,142974
478,GUJARAT,Porbandar,585449,300209,285240,393678,231169,183572,1653,117040,87557,96015,5639,41686
479,GUJARAT,Junagadh,2743082,1404356,1338726,1842818,1123709,776743,6628,498326,287506,489237,26991,144561
480,GUJARAT,Amreli,1514190,771049,743141,995459,657139,430613,2538,273331,116899,313714,12765,80378
